
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus            Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

bussource         26.53     0.9991   0.004368    0.01646 0.0001644 0.0006194
mdv_sub_1_hsb     26.53     0.9991   0.004368    0.01646 0.0001644 0.0006194
feederheadbus     7.182     0.9976   0.003303      0.046  0.001683   0.02343
busprim1          7.182     0.9976   0.003303      0.046  0.001683   0.02343
busprim2          7.182     0.9975     0.0033    0.04595  0.001723   0.02399
busprim3          7.181     0.9974   0.003367    0.04689  0.002037   0.02837
busprim4          7.181     0.9974   0.003441    0.04792  0.002234   0.03111
busprim5           7.18     0.9973   0.003446      0.048  0.002333    0.0325
busprim6           7.18     0.9973   0.003457    0.04815   0.00229   0.03189
busprim7           7.18     0.9972   0.003477    0.04842  0.002113   0.02943
busprim8          7.179     0.9972   0.003425     0.0477  0.001807   0.02517
busprim9          7.179     0.9972   0.003435    0.04785   0.00178   0.02479
busprim10         7.179     0.9972    0.00347    0.04833  0.001658   0.02309
busprim11         7.179     0.9971   0.003565    0.04966  0.001862   0.02594
busprim12         7.179     0.9971   0.003681    0.05128  0.002182   0.03039
bustrafo1lv      0.2365     0.9855          0          0         0         0
bussec1_1        0.2345     0.9771          0          0         0         0
bussec1_2        0.2341     0.9754          0          0         0         0
bussec1_3        0.2338     0.9743          0          0         0         0
bussec1_4        0.2341     0.9754          0          0         0         0
bussec1_5        0.2345     0.9771          0          0         0         0
bustrafo2lv      0.2365     0.9853          0          0         0         0
bussec2_1         0.228     0.9502          0          0         0         0
bustrafo3lv      0.2367     0.9861          0          0         0         0
bussec3_1        0.2331     0.9712          0          0         0         0
bussec3_2        0.2302     0.9592          0          0         0         0
bussec3_3        0.2281     0.9503          0          0         0         0
bussec3_4        0.2266     0.9444          0          0         0         0
bussec3_5        0.2259     0.9415          0          0         0         0
bustrafo4lv      0.2364     0.9849          0          0         0         0
bussec4_0        0.2253     0.9387          0          0         0         0
bussec4_1        0.2247     0.9364          0          0         0         0
bussec4_2        0.2247     0.9364          0          0         0         0
bussec4_3        0.2248     0.9365          0          0         0         0
bussec4_4        0.2245     0.9354          0          0         0         0
bussec4_5        0.2247     0.9365          0          0         0         0
bustrafo5lv      0.2363     0.9846          0          0         0         0
bussec5_0        0.2286     0.9523          0          0         0         0
bussec5_1        0.2275     0.9481          0          0         0         0
bussec5_2        0.2275     0.9479          0          0         0         0
bussec5_3        0.2335     0.9729          0          0         0         0
bussec5_4        0.2335     0.9728          0          0         0         0
bustrafo6lv      0.2362     0.9843          0          0         0         0
bussec6_01       0.2293     0.9554          0          0         0         0
bussec6_02       0.2295     0.9564          0          0         0         0
bussec6_1        0.2282     0.9507          0          0         0         0
bussec6_2        0.2281     0.9506          0          0         0         0
bussec6_3        0.2285     0.9519          0          0         0         0
bussec6_4        0.2285     0.9519          0          0         0         0
bustrafo7lv      0.2362     0.9843          0          0         0         0
bussec7_01       0.2294      0.956          0          0         0         0
bussec7_02       0.2277     0.9489          0          0         0         0
bussec7_1        0.2284     0.9516          0          0         0         0
bussec7_2        0.2284     0.9517          0          0         0         0
bussec7_3        0.2267     0.9447          0          0         0         0
bussec7_4        0.2267     0.9447          0          0         0         0
bustrafo8lv      0.2358     0.9826          0          0         0         0
bussec8_01       0.2316      0.965          0          0         0         0
bussec8_02       0.2295     0.9563          0          0         0         0
bussec8_1        0.2309     0.9621          0          0         0         0
bussec8_2        0.2284     0.9518          0          0         0         0
bussec8_3        0.2285      0.952          0          0         0         0
bussec8_4        0.2285     0.9519          0          0         0         0
bustrafo9lv      0.2359     0.9828          0          0         0         0
bussec9_0        0.2306     0.9609          0          0         0         0
bussec9_1        0.2285     0.9522          0          0         0         0
bussec9_2        0.2285      0.952          0          0         0         0
bustrafo10lv     0.2359     0.9828          0          0         0         0
bussec10_0       0.2298     0.9574          0          0         0         0
bussec10_1       0.2326      0.969          0          0         0         0
bussec10_2        0.228     0.9501          0          0         0         0
bustrafo11lv     0.2382     0.9926          0          0         0         0
bussec11_1       0.2348     0.9782          0          0         0         0
bussec11_2       0.2334     0.9725          0          0         0         0
xfmrlv           0.2344     0.9768          0          0         0         0
buslv1           0.2293     0.9554          0          0         0         0
buslv2            0.226     0.9419          0          0         0         0
buslv3           0.2295     0.9564          0          0         0         0
buslv4           0.2274     0.9476          0          0         0         0
buslv5           0.2282     0.9507          0          0         0         0
busload1          0.226     0.9415          0          0         0         0
busload2          0.226     0.9415          0          0         0         0
busload3         0.2291     0.9547          0          0         0         0
busload4         0.2286     0.9524          0          0         0         0
busload5         0.2255     0.9398          0          0         0         0
busload6         0.2267     0.9444          0          0         0         0
busload7         0.2279     0.9496          0          0         0         0
busload8          0.228     0.9501          0          0         0         0
