x,y,z,
12.9982043,7.8476821,-380.2449111,20.8458864
2.3989063,1.3198427,-380.2449111,3.718749
2.9112763,1.7949839,-380.2449111,4.7062602
3.3939289,1.3272103,-380.2449111,4.7211392
3.0638553,1.3368795,-380.2449111,4.4007348
2.4326642,1.178259,-380.2449111,3.6109232
3.0411418,1.6427995,-380.2449111,4.6839413
3.2798593,1.6506232,-380.2449111,4.9304825
3.2548289,1.888019,-380.2449111,5.1428479
3.816004,1.7122099,-380.2449111,5.5282139
3.065829444,1.538980778,-380.2449111,4.604810222
0.424542296,0.236748654,5.68E-14,0.586218604
