hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 104.358, 43.3003, 112.188, 27.8538, 121.638, 42.3135, 0, 0
2, 0.00000, 96.6493, 37.2747, 107.908, 25.556, 112.405, 41.1308, 0, 0
3, 0.00000, 94.8788, 31.6816, 99.5302, 27.1641, 101.108, 33.4387, 0, 0
4, 0.00000, 82.5619, 20.9051, 83.3042, 25.297, 79.1262, 23.7523, 0, 0
5, 0.00000, 77.6261, 19.9052, 78.5239, 27.0525, 71.8807, 24.269, 0, 0
6, 0.00000, 67.1658, 20.0447, 72.9927, 21.6243, 68.7008, 25.8815, 0, 0
7, 0.00000, 66.9019, 20.9587, 68.7619, 21.996, 66.9298, 23.0893, 0, 0
8, 0.00000, 66.6873, 20.9876, 72.4977, 21.299, 69.3128, 26.1739, 0, 0
9, 0.00000, 66.9855, 21.6803, 65.4513, 20.425, 67.308, 19.7226, 0, 0
10, 0.00000, 71.9824, 28.8654, 75.0009, 19.9797, 81.1847, 27.0195, 0, 0
11, 0.00000, 86.2385, 37.9212, 89.5238, 24.5407, 99.4685, 34.0454, 0, 0
12, 0.00000, 90.4842, 35.9305, 92.5064, 21.7257, 103.799, 30.5464, 0, 0
13, 0.00000, 83.5647, 32.708, 84.6469, 17.4974, 97.2818, 26.0078, 0, 0
14, 0.00000, 80.9101, 30.6283, 80.4105, 23.9343, 86.461, 26.8358, 0, 0
15, 0.00000, 76.959, 34.764, 82.4927, 19.2449, 93.1616, 31.7631, 0, 0
16, 0.00000, 79.5063, 34.0709, 80.6637, 20.47, 91.8672, 28.2449, 0, 0
17, 0.00000, 87.3595, 32.0195, 79.8829, 25.5284, 89.2605, 22.2889, 0, 0
18, 0.00000, 88.019, 28.5467, 82.2781, 26.3063, 87.101, 22.4526, 0, 0
19, 0.00000, 79.4355, 33.8995, 76.4259, 19.8852, 90.0788, 24.26, 0, 0
20, 0.00000, 76.4832, 33.8725, 76.4839, 16.3107, 91.6992, 25.0583, 0, 0
21, 0.00000, 76.15, 28.5542, 77.8335, 15.7952, 88.0421, 23.6081, 0, 0
22, 0.00000, 82.7122, 29.2917, 88.3646, 17.9862, 95.3212, 28.5087, 0, 0
23, 0.00000, 100.916, 36.8008, 97.6347, 27.4242, 107.408, 29.2502, 0, 0
24, 0.00000, 113.705, 45.8788, 102.987, 33.2675, 119.302, 30.2646, 0, 0
