postID,model,condition,make year,cylinder NO,drive,fuel,color,status,transmission,vehicle type,latitude,longitude,price
7796997844,GMC,N/A,2004,8,N/A,gas,white,clean,automatic,truck,45.51805,-122.579581,$0 
7796997835,ford f550 4x4,excellent,2000,8,4wd,diesel,white,clean,automatic,truck,35.1322,-118.449,"$39,000 "
7796997840,Tiffin Motor Coach Wayfarer 25R,N/A,2021,6,rwd,diesel,silver,clean,automatic,truck,45.519743,-122.433069,$0 
7796997766,honda accord ex-l,N/A,2020,4,N/A,gas,N/A,clean,automatic,sedan,38.6816,-121.8052,"$18,750 "
7796997719,TESLA MODEL Y,N/A,2020,N/A,N/A,electric,red,clean,automatic,SUV,29.656438,-95.555243,"$31,990 "
7796997705,Jeep Wrangler Rubicon Hard Top,good,2008,6,4wd,gas,green,clean,manual,SUV,38.9568,-94.6832,"$15,000 "
7796997698,LEXUS GS,N/A,2018,N/A,fwd,gas,N/A,clean,automatic,sedan,36.1433,-115.2004,$1 
7796997612,toyota corolla,N/A,2011,N/A,N/A,gas,N/A,clean,automatic,sedan,36.8253,-119.6802,"$4,800 "
7796997519,toyota tacoma,like new,2023,N/A,4wd,gas,N/A,salvage,automatic,pickup,32.7777,-116.9191,"$31,900 "
7796997498,mercedes benz s550,good,2015,8,rwd,gas,grey,salvage,automatic,sedan,34.1678,-118.1261,"$17,500 "
7796997494,Dodge Ram Van 2500,N/A,1998,8,rwd,gas,green,clean,automatic,sedan,47.7684,-122.1271,"$4,998 "
7796997480,FORD MUSTANG,N/A,2019,N/A,N/A,gas,N/A,clean,automatic,coupe,33.192123,-117.229065,$0 
7796997477,subaru impreza,excellent,2014,4,4wd,gas,red,clean,automatic,hatchback,46.7309,-116.9897,"$14,000 "
7796997466,suzuki xl7,fair,2004,6,4wd,gas,black,clean,automatic,SUV,44.0223,-121.2985,"$4,000 "
7796997430,Honda pilot,good,2006,N/A,N/A,gas,N/A,clean,automatic,SUV,34.1687,-118.3713,"$3,800 "
7796997378,DoDGE RAM,N/A,1900,N/A,N/A,other,N/A,parts only,automatic,N/A,34.950822,-120.452036,"$1,495 "
7796997320,dodge ram 1500,N/A,2003,N/A,N/A,gas,N/A,clean,automatic,pickup,32.2127,-110.8829,"$4,500 "
7796997269,nissan hardbody d21 4x4,good,1991,4,4wd,gas,custom,clean,manual,truck,32.9161,-117.1402,"$6,500 "
7796997212,Honda Accord EX-L,good,2011,6,fwd,gas,black,clean,automatic,sedan,37.5368,-122.032,"$10,000 "
7796997196,TOYOTA CAMRY,excellent,2003,N/A,N/A,gas,N/A,clean,automatic,sedan,38.495519,-121.529217,"$1,900 "
7796997135,bmw 5 series 530i,good,2019,N/A,N/A,gas,N/A,clean,automatic,sedan,30.2315,-97.7223,"$22,000 "
7796997108,mercedes benz,N/A,1985,N/A,N/A,gas,N/A,clean,automatic,N/A,32.6605,-97.0311,"$3,000 "
7796997092,Ford F350,excellent,1959,6,rwd,gas,blue,clean,manual,truck,45.9516,-91.8581,"$15,500 "
7796997086,nissan altima,good,2014,4,fwd,gas,black,clean,automatic,sedan,34.187,-118.391,"$4,500 "
